Importance of Business Processes,Data Quality,Technical Complexity,Team Experience,Urgency,Testing Tools and Methods,Change Management Plan,Compliance with Regulatory Requirements,Level of Integration with Other Systems,Predictability of Changes,History of Previous Implementations,Availability of Backup Plans,Reaction to Mistakes,Coordination between Teams,Performance Monitoring,Analysis of Consequences of Failures,Degree of Automation of Processes,Maturity of Development Processes,Version Control and Configuration Management,Criticality of Streams,Total Key Risks
3,9,5,1,1,2,2,2,2,1,1,2,2,1,1,3,3,3,3,2,High+
4,6,4,4,2,3,2,1,1,2,2,2,1,1,1,1,1,1,1,3,Medium
3,8,1,4,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,Medium
2,7,5,3,3,3,2,2,1,1,2,2,1,2,3,2,2,2,1,3,High
4,6,4,4,1,1,1,2,2,1,3,2,1,1,1,3,2,1,2,1,Medium
5,7,3,4,3,3,1,1,1,1,3,1,2,2,3,3,3,3,3,2,High+
1,9,2,3,2,2,2,1,1,2,2,1,2,2,1,2,1,2,1,3,Medium
3,5,4,5,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,Medium
4,7,2,4,1,2,1,2,1,2,3,1,2,2,1,2,1,2,1,1,Medium
5,9,5,1,2,3,2,2,2,1,3,2,1,1,2,2,2,1,1,1,High+
2,5,4,3,3,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,High
4,8,3,2,3,1,2,2,2,2,1,1,1,1,3,2,3,1,1,2,High
1,5,5,5,2,3,2,1,1,2,2,2,2,2,1,2,1,1,1,2,High
3,6,1,4,1,2,1,1,2,1,1,2,1,2,3,2,3,3,3,3,Medium
4,9,2,3,3,3,2,2,1,2,3,2,2,2,1,1,1,2,2,2,High+
2,8,5,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,High
4,1,4,1,1,2,1,1,1,1,3,1,1,2,1,3,2,2,2,2,High+
2,7,1,5,2,1,2,1,2,1,1,1,1,2,2,1,3,1,1,3,High
5,2,5,2,3,1,1,2,1,2,3,2,2,2,3,2,1,3,3,2,Unacceptable
3,8,4,4,1,3,2,1,2,2,1,2,2,1,1,1,2,2,2,1,High
1,4,3,3,2,3,1,1,1,1,2,1,1,1,3,2,1,1,2,2,Medium
4,3,2,5,1,1,1,1,2,1,1,2,2,1,2,1,2,3,1,3,High
2,9,1,1,3,2,2,1,1,2,2,1,2,2,1,3,2,1,2,1,High+
3,2,4,2,2,1,1,2,1,1,1,2,1,2,3,1,3,2,1,2,High
5,1,2,4,1,2,2,1,2,2,3,1,1,1,1,2,1,3,2,3,High+
1,3,3,5,2,3,2,2,2,1,2,2,2,2,1,3,1,1,1,1,Medium
4,4,1,3,3,1,1,1,1,2,3,2,2,1,2,3,2,3,1,3,High
2,7,5,2,1,2,1,1,2,1,2,1,2,2,3,1,1,1,2,1,High
3,6,3,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,High
1,2,2,5,3,3,1,1,1,1,3,2,1,2,1,1,3,3,2,1,High
5,8,4,4,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,High
4,5,3,3,1,3,2,1,2,1,1,1,2,1,3,3,1,3,3,3,High
3,3,2,4,3,2,1,1,1,1,2,2,2,2,1,2,3,1,1,2,High
1,9,1,2,2,1,1,1,2,2,1,2,1,2,3,1,2,3,2,1,High
2,4,4,1,3,3,2,1,2,1,3,1,1,1,2,3,1,2,1,3,High
5,6,5,5,1,1,2,2,1,2,3,2,2,1,1,2,1,1,3,2,High+
4,1,2,3,1,2,2,1,1,1,2,1,2,2,3,2,2,3,1,1,High+
2,8,3,4,2,3,1,2,1,1,1,2,1,1,2,1,3,2,3,3,High
3,5,1,2,3,1,1,1,2,2,3,1,1,2,1,3,3,3,2,2,High
1,6,4,1,3,2,2,2,2,1,1,1,2,2,2,2,1,1,1,3,High+
4,3,2,5,2,3,1,1,1,2,2,2,1,1,3,1,2,2,3,1,High
2,7,5,3,1,1,1,2,2,1,3,1,2,2,3,2,1,1,2,1,High+
3,2,3,4,2,2,2,1,1,1,1,1,1,1,1,2,2,3,3,2,High
5,1,4,2,3,1,2,2,1,1,2,2,1,1,2,3,1,2,1,3,High+
1,8,3,5,2,3,2,2,2,2,1,2,2,2,2,2,3,3,2,2,High
4,4,4,4,1,2,1,1,2,1,1,1,2,1,2,1,2,2,3,2,High
2,5,1,3,3,1,1,1,1,1,3,1,1,2,3,2,1,1,1,1,High+
3,6,5,2,1,2,2,2,1,2,2,2,2,1,1,3,2,3,2,3,High+
5,2,2,5,2,3,2,1,2,2,3,1,1,2,3,1,3,1,3,1,High
4,9,4,1,3,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2,Unacceptable
2,1,3,4,1,2,1,1,1,1,1,1,2,2,1,1,2,3,3,1,High+
1,7,2,2,2,3,2,2,1,2,3,2,2,1,3,2,3,1,2,2,High
3,3,4,3,2,2,2,1,2,1,2,1,1,1,2,3,1,2,3,3,High+
5,5,1,5,1,3,1,1,1,2,1,2,1,2,3,1,3,3,1,1,High
2,4,5,1,3,1,1,2,2,1,3,1,1,1,1,2,1,1,2,2,Unacceptable
4,6,3,4,2,2,2,1,1,2,1,2,2,2,3,2,2,3,3,3,High
1,2,4,3,1,1,1,1,2,1,2,1,2,1,1,3,1,1,1,2,High+
3,8,2,2,3,2,1,2,2,2,1,2,1,2,2,1,3,2,3,1,High
5,7,1,5,2,3,2,1,1,2,2,2,2,2,3,1,3,3,3,3,Medium
2,5,3,4,1,2,1,2,1,1,3,1,1,1,2,2,2,2,2,2,High+
4,3,5,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,Unacceptable
1,9,2,3,2,3,2,2,1,2,2,2,2,2,3,1,2,3,3,2,Medium
3,6,4,2,1,2,1,1,2,1,3,1,2,1,2,2,1,2,2,3,High
2,4,1,5,3,1,2,1,1,2,1,2,1,2,1,3,3,3,3,1,Medium
4,2,5,1,2,3,1,2,2,1,2,1,2,1,3,1,2,1,1,3,Unacceptable
3,7,3,4,1,2,2,1,1,2,1,2,1,2,2,2,3,2,3,2,Medium
1,5,2,3,3,1,1,2,2,1,3,1,2,1,1,3,1,1,1,1,High+
5,3,4,2,2,3,2,1,1,2,2,2,1,2,3,1,2,3,3,3,Medium
2,8,1,5,1,2,1,1,1,2,1,2,2,2,1,2,3,3,3,2,Low
4,6,3,1,3,1,1,2,2,1,2,1,1,1,2,3,1,1,1,3,Unacceptable
1,4,5,4,2,2,2,1,1,2,3,1,2,1,3,1,2,2,2,2,High+
3,2,2,3,1,3,2,2,1,2,1,2,1,2,2,2,3,3,3,1,Medium
4,9,5,4,2,1,2,1,1,1,2,2,1,2,1,3,1,1,2,2,Unacceptable
2,5,1,3,3,3,2,2,1,2,3,1,2,1,3,1,2,2,1,3,High+
1,7,4,2,1,2,1,2,2,1,1,2,2,2,2,2,3,3,3,1,Medium
5,3,3,5,3,1,1,1,2,2,2,1,1,1,1,3,1,1,1,3,High
3,6,2,1,2,3,2,2,1,1,3,2,2,2,3,1,2,2,2,2,Medium
2,4,5,4,1,2,1,1,1,2,1,1,1,1,2,3,3,3,3,1,High+
4,1,1,3,3,3,1,2,2,1,2,2,1,2,1,2,1,1,1,3,Unacceptable
1,8,4,2,2,1,2,1,2,2,3,1,2,1,3,1,2,2,2,2,High
3,5,2,5,1,3,2,2,1,2,1,2,2,1,2,2,3,3,3,1,Low
5,2,3,1,2,2,1,1,1,1,2,1,1,2,1,3,1,1,1,2,High
2,7,5,3,3,1,2,2,2,1,3,2,1,2,3,1,2,2,2,3,High+
4,3,1,4,1,3,1,1,2,2,2,1,2,1,2,2,1,1,1,1,Medium
1,6,4,5,2,2,2,1,1,1,1,2,1,1,1,3,2,2,2,2,High
3,1,3,2,3,1,1,2,2,2,3,1,2,2,3,1,2,2,2,1,High+
5,9,2,4,2,3,2,2,1,2,2,2,2,2,2,3,3,3,3,2,High
2,4,4,3,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,Medium
4,9,2,5,3,1,2,2,1,1,2,2,2,2,1,2,1,3,1,1,High+
2,7,4,1,1,3,1,1,2,2,3,1,1,2,2,3,3,1,2,2,High
1,5,1,4,2,2,2,1,1,2,1,2,1,1,3,1,2,3,3,3,Medium
3,8,3,3,3,2,1,2,2,1,2,1,2,1,1,3,2,2,1,2,High+
5,6,5,2,2,1,2,1,1,2,3,2,1,2,3,2,1,1,2,1,High
4,7,2,4,1,3,1,2,1,1,1,1,2,2,2,1,3,2,3,3,Medium
2,9,4,1,3,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,High
3,8,3,5,2,1,1,2,1,1,3,2,2,2,3,3,1,3,2,2,High+
1,6,1,2,1,2,1,1,2,1,2,1,1,1,2,1,3,1,3,1,Medium
4,5,5,3,3,3,2,2,2,2,2,2,2,1,3,2,2,2,1,3,Unacceptable
2,7,3,4,2,2,1,1,1,1,1,2,1,2,1,3,2,3,2,2,High
5,9,1,1,3,1,1,2,2,2,3,1,2,1,2,1,1,1,1,3,High+
3,5,4,5,1,3,2,1,1,2,2,1,1,2,3,1,3,2,3,1,Medium
1,8,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,Medium
4,6,3,3,2,3,2,2,1,2,2,2,2,1,2,2,2,2,3,3,Medium
2,7,2,4,1,2,1,1,2,1,1,2,1,2,1,3,3,3,2,1,Low
5,9,5,1,3,1,1,2,2,2,2,1,2,1,2,1,1,1,1,3,Unacceptable
3,5,1,4,2,3,2,1,1,2,3,1,2,2,3,2,1,2,3,2,Medium
4,8,4,2,1,2,2,1,1,2,2,2,1,2,3,1,2,3,2,2,Low
2,5,2,4,3,1,1,2,2,1,3,1,1,1,1,3,3,1,1,1,High
1,6,3,4,2,3,1,1,2,2,2,2,2,2,3,1,2,2,3,3,Medium
5,7,4,1,3,1,2,2,1,1,1,1,2,2,2,3,2,2,2,2,Unacceptable
3,8,2,3,1,3,2,1,1,2,3,2,2,1,2,2,1,3,3,1,Low
2,7,5,2,2,1,1,1,2,2,3,1,1,1,2,1,2,2,1,2,High
4,6,1,5,1,3,2,2,2,1,1,2,2,2,1,2,3,1,2,3,Medium
1,9,4,3,3,2,1,1,1,2,2,1,1,1,1,3,1,3,1,3,Unacceptable
3,5,3,4,2,2,2,2,1,1,3,1,2,1,3,2,2,1,3,1,Medium
5,6,2,1,3,1,1,1,2,2,1,2,2,2,2,1,3,2,1,2,High+
2,8,1,4,1,3,2,2,1,1,2,2,1,2,2,2,3,3,2,1,Low
4,7,5,2,2,2,1,1,2,1,1,1,2,1,3,3,1,2,2,3,High
3,6,4,3,1,2,1,2,1,2,2,1,1,2,3,1,2,1,3,2,Medium
1,5,2,5,3,3,2,1,2,2,3,2,1,1,1,2,1,3,2,1,High
4,6,3,4,2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,High
3,7,2,3,3,2,2,1,2,2,1,2,1,2,1,3,3,3,2,3,Medium
5,8,4,2,1,3,1,2,1,1,3,1,2,2,3,1,1,1,3,1,High
2,5,1,5,2,2,2,1,2,2,2,2,1,1,2,2,3,2,1,3,Medium
4,9,5,1,3,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,Unacceptable
1,6,2,4,1,3,2,2,1,2,3,2,1,2,3,1,2,3,2,1,Low
3,7,3,3,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,3,Medium
5,8,4,2,3,1,2,2,1,2,1,2,1,2,1,3,3,3,2,2,High
2,5,1,5,1,2,1,1,2,1,2,1,2,1,3,2,1,2,3,3,Medium
4,9,5,1,2,3,2,1,1,2,3,2,1,2,2,1,3,1,2,1,High
1,4,3,4,3,2,1,2,2,1,1,1,2,1,1,3,2,3,1,2,High
3,6,2,3,2,1,2,1,1,2,2,2,1,2,3,2,1,1,3,3,Medium
5,8,4,2,1,3,1,2,2,1,3,1,2,1,2,1,3,2,2,1,High
2,5,1,5,2,2,2,1,1,2,2,2,1,2,1,2,2,3,1,3,Medium
4,2,4,3,1,3,1,2,1,2,2,1,1,2,3,2,1,2,2,1,Medium
1,6,3,4,3,1,2,1,2,1,1,1,2,1,1,3,2,3,1,2,High
3,7,2,2,2,2,1,2,1,1,3,2,1,1,2,1,3,1,3,3,Medium
5,4,1,5,1,3,1,1,1,1,1,2,1,2,3,2,2,3,1,1,Low
2,3,4,3,3,2,2,2,2,2,1,1,2,1,1,2,1,2,3,2,High
4,9,2,1,2,1,1,1,1,1,3,1,2,2,3,1,3,1,2,3,High+
3,5,3,4,1,2,2,1,2,2,2,2,1,2,1,2,2,3,1,1,Medium
1,1,5,2,3,3,2,2,1,2,1,2,1,1,2,3,1,2,3,3,High+
5,8,1,3,2,1,1,2,1,1,2,1,2,2,3,1,3,1,2,2,High
2,4,2,5,1,3,1,1,2,1,3,2,1,2,1,2,2,3,1,3,Medium
4,7,3,1,3,1,2,1,1,2,1,1,2,1,2,3,1,2,3,1,High+
3,6,1,4,2,2,2,2,2,2,2,1,1,2,3,1,3,1,2,3,Medium
1,2,5,3,1,2,1,2,2,1,3,1,2,1,1,2,1,2,3,2,High+
5,9,2,2,3,1,1,1,1,1,1,2,2,1,3,1,3,1,2,1,High+
4,8,4,3,1,3,2,1,2,1,2,2,1,2,1,2,2,3,1,3,High
2,4,2,5,2,1,1,1,1,2,1,1,2,1,2,3,1,2,3,1,Medium
1,1,4,4,3,2,1,2,1,1,3,1,1,2,1,1,1,1,1,2,High+
3,5,3,1,1,3,1,1,2,2,2,2,1,1,3,2,3,3,2,1,Medium
5,7,4,2,3,1,2,1,1,2,1,1,1,1,2,2,2,2,2,3,High+
4,6,2,4,2,2,1,2,2,1,3,1,2,1,1,3,1,1,3,1,High
2,3,1,3,1,3,2,2,1,2,1,2,2,2,3,1,3,3,1,2,Low
1,5,5,1,2,1,1,1,2,1,3,1,1,1,1,2,1,1,1,3,High+
3,8,3,5,3,2,2,1,1,1,2,1,2,2,2,3,2,3,3,1,High
4,6,4,4,1,3,1,2,2,2,1,2,1,2,1,1,2,2,1,2,Medium
2,4,1,2,2,2,1,1,1,1,2,2,2,1,3,2,3,1,2,1,Medium
5,1,2,5,3,1,2,2,1,2,3,2,1,1,1,1,1,3,3,3,High
1,3,4,2,1,3,1,1,1,2,1,1,2,2,2,3,2,1,1,2,High+
4,9,3,3,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,1,High+
3,6,2,4,1,3,2,1,1,1,3,2,1,2,2,1,2,3,1,3,Medium
4,2,5,1,3,1,1,1,2,2,1,2,2,1,3,3,3,2,3,2,High+
2,7,3,5,2,2,2,2,2,1,2,1,2,2,1,2,1,3,2,1,Medium
5,3,4,3,1,3,1,2,1,2,1,1,1,2,2,1,3,1,3,2,High
1,5,1,4,2,1,2,1,2,1,3,2,2,1,3,2,2,2,1,3,Medium
4,8,2,2,3,2,1,2,1,1,2,2,1,2,2,3,1,1,2,2,High
3,1,5,1,1,1,1,1,1,2,1,2,1,1,1,1,3,3,3,1,High+
2,4,3,3,2,3,2,1,2,1,3,1,2,2,2,2,1,2,1,3,High
5,2,1,5,3,2,2,2,2,2,1,1,2,1,3,1,2,3,3,1,High+
1,6,4,4,1,1,1,2,1,1,2,2,1,2,2,3,3,1,2,2,High
4,9,3,2,2,3,1,1,2,2,1,2,1,1,1,2,1,2,1,3,High+
2,3,2,1,3,2,2,1,1,1,3,1,1,2,3,1,3,3,2,1,High
3,7,1,4,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,3,Medium
5,1,4,3,1,3,2,2,1,1,1,1,2,1,1,3,1,3,1,2,High
1,4,5,5,1,1,1,1,1,1,3,2,1,2,2,1,3,1,2,1,Medium
4,5,3,2,3,2,1,1,1,2,1,2,2,1,3,2,1,2,1,2,High
2,8,2,4,2,3,2,2,2,1,2,1,1,2,1,3,2,3,3,3,High+
3,2,4,1,1,2,1,1,2,2,3,1,2,1,2,1,3,1,2,1,High
5,6,1,3,2,1,2,2,1,1,1,2,1,2,3,3,1,2,3,2,High
2,9,5,5,3,3,1,1,2,2,2,2,2,1,1,1,2,3,1,3,High+
4,3,2,4,1,2,2,2,1,1,1,1,1,2,3,2,3,2,2,2,Medium
3,7,4,2,2,1,1,2,2,2,3,2,2,2,2,2,2,1,3,1,High
1,5,3,1,3,3,2,1,1,1,2,1,2,1,1,3,1,3,1,3,High
5,2,1,4,1,1,1,2,2,2,1,2,1,2,2,1,3,2,3,2,High
2,6,5,3,2,2,2,1,1,1,3,1,1,1,3,2,1,1,2,3,High+
4,1,2,5,3,3,1,2,2,2,2,2,2,2,1,1,2,3,1,1,High
4,9,3,5,2,3,2,1,1,2,2,1,2,1,2,1,3,2,3,2,High
1,7,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,Low
3,6,4,4,3,1,1,2,2,2,3,2,2,2,3,2,1,3,2,3,High+
5,8,2,3,1,2,2,1,1,1,2,1,1,1,2,2,3,2,3,1,Medium
2,5,5,2,2,1,1,2,2,1,1,2,1,2,1,3,1,1,1,3,High
4,7,3,4,3,3,1,1,1,2,2,2,2,1,3,1,2,3,2,2,High
1,6,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,Low
3,9,4,3,1,2,1,2,2,2,3,1,1,2,2,1,3,1,2,3,High+
2,5,2,1,3,3,2,1,1,1,1,2,2,2,3,3,2,3,3,2,High
5,8,5,5,2,2,1,1,2,2,2,1,1,1,2,2,3,2,3,1,High+
4,7,4,4,1,1,2,2,1,1,3,2,1,1,3,2,2,1,1,2,High
3,6,3,3,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,3,Medium
2,5,2,2,1,3,1,2,1,1,1,2,1,1,1,3,2,1,1,1,Low
1,4,1,1,3,1,2,2,2,2,1,1,2,2,3,1,1,1,1,3,High
3,5,4,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,2,1,Medium
4,8,3,5,1,2,1,1,1,1,3,1,1,1,2,1,2,2,1,2,High+
2,5,2,4,3,2,1,2,1,1,1,1,1,2,1,2,2,1,1,2,High
5,9,1,3,1,1,2,1,2,2,2,2,2,1,1,3,1,2,1,1,High+
4,6,4,1,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,3,Unacceptable
2,4,3,4,1,3,1,2,2,2,2,2,1,2,2,2,1,1,2,2,Medium
1,5,5,1,3,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,High
3,7,2,2,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,Medium
4,8,4,5,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,High
1,3,1,5,3,3,2,1,1,1,1,1,1,1,1,1,2,2,1,1,Low
5,6,3,3,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,3,High
2,4,2,1,1,2,2,2,1,2,3,2,2,1,2,2,1,2,2,1,Medium
4,7,4,4,3,3,1,2,1,2,1,1,2,1,1,1,1,1,1,2,High
3,6,3,2,2,2,2,1,2,1,3,1,2,2,2,1,2,1,2,1,Medium
2,5,1,4,1,3,2,2,2,2,2,1,2,1,1,3,2,2,1,1,Medium
4,7,3,3,3,2,2,1,1,1,2,2,1,2,1,1,3,1,1,2,Medium
1,3,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,3,Medium
3,6,4,2,1,2,2,2,1,2,2,1,2,1,2,3,3,1,1,1,High
4,8,3,4,2,3,1,2,2,1,3,2,1,1,2,2,2,2,2,2,High
2,5,1,3,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,3,Medium
3,7,2,2,3,3,1,1,2,2,2,1,1,2,1,2,2,1,1,1,High
1,4,1,4,2,1,1,1,2,2,1,1,2,1,2,3,2,2,1,2,Medium
4,6,4,3,3,2,2,1,1,1,1,2,1,1,2,1,3,2,2,3,High
2,5,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,Medium
1,3,1,1,1,2,1,2,1,1,2,1,1,2,2,3,1,2,1,2,Low
4,8,3,2,1,3,1,1,2,2,1,1,2,2,2,1,1,1,1,3,High
3,5,4,4,3,2,2,2,1,2,1,2,1,2,2,2,3,1,2,2,High
5,9,5,5,3,3,2,2,2,1,1,2,2,1,3,3,1,2,2,2,High+
1,9,1,5,1,3,1,1,1,2,1,2,1,1,2,1,2,1,3,1,Medium
3,4,2,4,1,2,2,2,1,1,3,2,2,1,2,2,3,3,2,3,Medium
4,5,5,1,2,1,1,2,2,1,1,1,1,2,1,3,2,2,1,3,High
2,6,3,3,1,2,1,1,1,2,2,2,2,2,2,1,1,3,3,1,Medium
5,7,4,2,3,3,2,2,1,1,3,1,1,2,3,2,2,1,2,1,High
3,4,1,5,2,2,1,2,1,1,2,1,2,1,3,3,2,2,3,2,Medium
4,5,2,1,3,3,2,1,2,2,3,2,1,1,2,1,3,1,1,3,High
2,8,4,4,1,1,1,2,2,1,1,2,2,1,1,2,1,2,3,3,High
1,2,5,2,2,3,2,1,1,2,3,2,1,2,2,3,3,3,1,2,Medium
3,6,2,3,3,1,2,2,2,1,2,1,2,2,3,1,2,1,2,1,High
4,7,3,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,3,High
2,3,1,4,2,3,2,2,1,2,2,2,2,2,2,1,1,1,3,2,Medium
5,9,5,5,3,1,2,1,2,1,3,1,2,1,1,3,1,2,1,1,High+
1,4,2,2,1,3,1,2,1,2,1,2,1,2,2,2,2,3,2,3,Medium
3,5,4,3,2,2,2,1,2,1,2,1,2,1,2,2,1,3,2,1,Medium
4,8,2,4,3,1,1,2,1,2,3,2,1,2,1,3,3,1,3,2,High+
2,6,3,1,1,3,2,1,2,1,1,1,2,1,3,1,2,2,1,3,Medium
1,3,1,5,2,2,1,2,1,2,2,2,2,2,1,2,3,3,2,2,Low
5,2,5,2,3,1,1,1,1,1,3,1,1,1,1,3,2,1,1,1,Unacceptable
3,7,2,3,2,3,1,2,2,2,1,2,1,1,2,1,1,2,3,3,Medium
2,4,4,4,1,2,2,2,1,1,2,1,2,2,3,2,2,1,2,2,Medium
4,1,3,1,3,1,2,1,2,1,3,1,1,1,1,3,1,1,1,1,Unacceptable
1,5,1,5,1,3,1,2,2,2,1,2,2,2,2,1,3,3,2,3,Low
3,8,5,3,2,2,1,1,1,2,2,2,1,1,2,3,2,2,1,2,High+
5,6,2,2,3,1,2,2,2,1,3,1,2,1,1,2,1,1,3,1,High
2,3,4,4,1,3,2,1,1,2,1,1,1,2,3,1,3,2,2,2,Medium
4,9,1,1,3,1,1,1,2,1,3,2,1,1,1,3,1,1,1,1,High+
1,2,5,5,2,2,1,2,1,2,1,2,2,2,2,2,2,3,2,3,Medium
3,8,3,3,2,2,1,1,1,1,2,1,1,2,2,2,1,2,3,1,Medium
2,7,4,1,1,3,2,2,2,1,2,2,2,1,1,1,3,1,1,2,Medium
4,5,2,5,3,1,1,2,1,2,1,1,2,1,3,2,2,3,2,1,Medium
1,1,1,2,2,2,2,1,2,1,3,2,1,2,1,3,3,2,1,2,Low
5,9,5,4,1,1,1,1,2,1,3,1,1,1,2,1,1,1,3,3,High+
3,4,3,2,3,3,1,2,1,2,2,1,2,2,2,2,2,2,2,1,Medium
2,6,1,4,2,2,2,2,1,1,1,2,1,1,3,1,3,2,1,3,Medium
4,2,4,1,1,3,2,1,2,2,3,2,2,2,1,3,1,3,1,1,High
1,5,2,3,3,1,1,1,1,1,2,1,2,1,2,2,3,1,2,2,Medium
5,8,1,5,2,3,2,2,2,2,1,1,1,2,1,1,2,3,3,3,Medium
2,3,5,2,1,1,2,1,1,1,2,2,1,2,3,1,1,2,2,2,Medium
4,7,3,4,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,1,Medium
1,2,2,1,3,3,1,2,1,1,3,1,2,1,2,3,1,1,3,3,High
3,9,4,3,1,2,2,1,2,1,1,2,2,1,1,3,3,3,1,2,High
5,4,2,5,2,3,2,2,1,1,2,2,2,2,1,1,2,3,3,1,Medium
2,8,4,4,1,1,1,1,1,2,3,1,1,1,3,2,1,2,1,3,High
4,5,1,1,3,2,1,2,2,1,1,2,1,2,2,1,3,1,2,2,High
1,1,5,3,2,3,2,1,2,2,2,1,2,1,1,3,1,3,2,1,High+
3,6,3,2,1,2,1,2,1,1,3,2,1,1,2,2,2,1,3,2,High
2,7,2,4,3,1,2,1,1,2,1,1,2,2,3,1,3,2,2,3,High
4,2,4,5,1,3,1,2,2,1,2,2,1,2,1,3,2,3,1,1,High
3,5,1,1,2,2,2,1,1,2,3,1,2,1,2,1,1,1,3,2,High
1,9,5,2,3,1,1,1,2,1,1,2,1,1,1,3,1,2,1,3,High+
5,3,3,4,2,2,2,2,1,2,2,1,2,2,3,2,2,3,2,1,Medium
2,6,1,3,1,3,1,2,1,1,2,2,2,1,2,1,3,1,2,3,Medium
4,1,4,1,3,1,2,1,2,2,3,1,1,2,1,2,1,2,1,2,High
1,8,2,5,2,2,1,1,1,1,1,2,2,2,3,1,2,3,3,1,Medium
3,4,5,2,1,3,2,2,2,1,2,1,1,1,2,3,1,1,2,2,High
5,7,3,4,2,1,2,1,2,1,3,1,2,1,3,2,2,2,3,1,High
2,3,1,1,1,2,1,2,1,2,1,2,1,2,1,1,3,3,1,3,Medium
3,8,4,5,3,3,1,2,1,2,3,2,2,2,2,3,2,2,3,1,High
4,7,3,4,2,2,2,1,2,1,2,1,1,2,3,2,3,3,2,2,Medium
2,9,2,3,1,3,2,2,1,2,1,2,2,1,1,1,1,1,1,3,Low
5,6,5,2,3,1,1,1,2,1,3,1,1,1,2,3,1,2,1,2,High+
1,5,2,5,2,2,2,2,1,2,2,2,2,2,3,1,3,3,3,1,Low
4,8,3,4,1,3,1,1,1,1,1,2,1,1,3,2,2,2,2,3,Medium
3,7,4,3,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,1,Medium
2,6,5,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,High+
5,9,2,4,1,3,2,1,2,2,3,2,2,2,3,1,3,2,3,3,Medium
1,5,3,5,2,2,1,2,1,1,2,1,2,1,2,2,2,3,1,1,Low
4,7,4,3,3,2,1,2,1,2,1,2,1,2,1,3,2,1,3,2,High
3,6,3,4,2,3,2,1,2,1,3,1,2,1,3,2,1,2,2,1,Medium
2,5,5,2,1,1,1,2,2,1,1,2,1,2,2,1,3,1,1,3,High
5,8,2,5,3,3,2,1,1,2,2,1,2,1,1,2,2,3,2,2,Medium
4,6,3,3,2,1,2,1,1,2,2,2,1,1,2,1,3,2,1,3,Medium
3,5,4,4,1,3,1,2,2,1,3,1,2,2,1,3,2,1,3,1,Medium
2,7,5,2,3,1,2,2,2,1,1,1,1,2,3,2,1,3,2,3,High
5,8,2,5,2,2,1,1,1,2,2,2,2,1,1,1,2,3,1,2,Medium
4,6,3,4,3,3,2,1,1,2,1,2,1,1,2,3,3,2,3,2,High
3,5,4,3,2,2,1,2,2,1,3,2,2,2,1,2,1,1,1,1,Medium
2,7,5,5,1,1,2,2,2,1,1,1,1,2,3,2,3,3,2,3,High
5,8,2,2,3,3,1,1,1,2,2,2,2,1,1,1,2,3,1,2,Medium
4,6,3,3,2,1,2,1,1,2,2,2,1,1,2,3,3,2,3,2,High
3,5,4,4,1,3,1,2,2,1,3,1,2,2,1,2,1,1,1,1,Medium
2,7,5,2,3,1,2,2,2,1,1,1,1,2,3,2,3,3,2,3,High
5,8,2,5,2,2,1,1,1,2,2,2,2,1,1,1,2,3,1,2,Medium
4,6,3,4,3,3,2,1,1,2,1,2,1,1,2,3,3,2,3,2,High
3,5,4,3,2,2,1,2,2,1,3,2,2,2,1,2,1,1,1,1,Medium
4,6,1,4,3,3,1,2,2,1,2,1,2,1,2,3,1,2,2,1,High
2,7,4,2,1,2,2,1,1,2,3,1,1,2,3,1,1,3,3,2,Medium
1,8,5,1,3,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,High+
